penalty,mixture,.metric,.estimator,mean,n,std_err,.config,model,features,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size
0.05223345074266832,0.926923076923077,rmse,standard,0.29709990934438,5,0.0036144066514051188,Preprocessor1_Model37,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
2.0309176209047348e-8,0.9512820512820513,mae,standard,0.25147474255800373,5,0.001964882597807554,Preprocessor1_Model38,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
2.0309176209047348e-8,0.9512820512820513,rmse,standard,0.30726550943289604,5,0.003250903726001215,Preprocessor1_Model38,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.2663801734674021e-6,0.9756410256410257,mae,standard,0.2514860235779446,5,0.0019666353616621707,Preprocessor1_Model39,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.2663801734674021e-6,0.9756410256410257,rmse,standard,0.30728215400719106,5,0.0032528148209670354,Preprocessor1_Model39,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.4251026703029964e-4,1,mae,standard,0.2514994765226958,5,0.001967356274033569,Preprocessor1_Model40,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.4251026703029964e-4,1,rmse,standard,0.3072993357586588,5,0.003253746509416068,Preprocessor1_Model40,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
NA,NA,mae,standard,0.24877502369089727,5,0.0026774903523345216,Preprocessor1_Model01,random_forest,hybrid,1,1128,10,NA,NA,NA,NA
NA,NA,rmse,standard,0.2971169287779604,5,0.0036144775147697087,Preprocessor1_Model01,random_forest,hybrid,1,1128,10,NA,NA,NA,NA
NA,NA,mae,standard,0.24885838473898786,5,0.0025557909287302854,Preprocessor1_Model02,random_forest,hybrid,7,1538,28,NA,NA,NA,NA
NA,NA,rmse,standard,0.2973639506892096,5,0.0035194142850007958,Preprocessor1_Model02,random_forest,hybrid,7,1538,28,NA,NA,NA,NA
NA,NA,mae,standard,0.24982308650076113,5,0.0027765867287853217,Preprocessor1_Model03,random_forest,hybrid,13,462,16,NA,NA,NA,NA
NA,NA,rmse,standard,0.29848496348197023,5,0.0037318840414298925,Preprocessor1_Model03,random_forest,hybrid,13,462,16,NA,NA,NA,NA
NA,NA,mae,standard,0.2493253428314456,5,0.0024331774461013914,Preprocessor1_Model04,random_forest,hybrid,20,411,29,NA,NA,NA,NA
NA,NA,rmse,standard,0.2977923497022611,5,0.0033562494490395104,Preprocessor1_Model04,random_forest,hybrid,20,411,29,NA,NA,NA,NA
NA,NA,mae,standard,0.24991930222466233,5,0.002347482281120517,Preprocessor1_Model05,random_forest,hybrid,26,1743,15,NA,NA,NA,NA
NA,NA,rmse,standard,0.2985994875690286,5,0.003251253029585558,Preprocessor1_Model05,random_forest,hybrid,26,1743,15,NA,NA,NA,NA
